"Dist Code","Year","State Code","State Name","Dist Name","ADULT MALE CROSSBRED (1000 Number)","ADULT MALE INDIGENOUS (1000 Number)","ADULT FEMALE CROSSBRED (1000 Number)","ADULT FEMALE INDIGENOUS (1000 Number)","YOUNG MALE CROSSBRED (1000 Number)","YOUNG MALE INDIGENOUS (1000 Number)","YOUNG FEMALE CROSSBRED (1000 Number)","YOUNG FEMALE INDIGENOUS (1000 Number)"
"1","1966","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"1","1972","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"1","1977","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"1","1982","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"1","1987","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"1","1992","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"1","1997","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"1","2003","14","Chhattisgarh","Durg","7.6","484.38","14.2","502.93","6.17","305.16","8.44","341.53"
"1","2007","14","Chhattisgarh","Durg","1.24","572.66","8.65","747.01","2.89","340.97","4.37","368.8"
"1","2012","14","Chhattisgarh","Durg","1.44","565.65","10.79","777.03","2.47","288.99","4.7","392.12"
"1","2019","14","Chhattisgarh","Durg","1.27","460.88","13.97","813.04","2.39","287.06","5.87","478.47"
"2","1966","14","Chhattisgarh","Bastar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"2","1972","14","Chhattisgarh","Bastar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"2","1977","14","Chhattisgarh","Bastar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"2","1982","14","Chhattisgarh","Bastar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"2","1987","14","Chhattisgarh","Bastar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"2","1992","14","Chhattisgarh","Bastar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"2","1997","14","Chhattisgarh","Bastar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"2","2003","14","Chhattisgarh","Bastar","1.98","640.45","4.1","306.12","1.54","202.8","2.66","245.79"
"2","2007","14","Chhattisgarh","Bastar","1.82","694.43","6.78","486.99","3.05","216.31","3.06","217.07"
"2","2012","14","Chhattisgarh","Bastar","2.25","861.84","8.79","564.63","2.51","150.7","4.2","277.71"
"2","2019","14","Chhattisgarh","Bastar","2.58","924.93","15.92","547.7","3.77","183.9","9.89","321.06"
"3","1966","14","Chhattisgarh","Raipur","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"3","1972","14","Chhattisgarh","Raipur","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"3","1977","14","Chhattisgarh","Raipur","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
