"Dist Code","Year","State Code","State Name","Dist Name","CATTLE TOTAL (1000 Number)","CATTLE ADULT MALE (1000 Number)","CATTLE ADULT FEMALE (1000 Number)","CATTLE YOUNG MALE (1000 Number)","CATTLE YOUNG FEMALE (1000 Number)","CATTLE YOUNG TOTAL (1000 Number)","CATTLE SHARE IN LARGE RUMINANT (Percent)","BUFFALO TOTAL (1000 Number)","BUFFALO ADULT MALE (1000 Number)","BUFFALO ADULT FEMALE (1000 Number)","BUFFALO YOUNG MALE (1000 Number)","BUFFALO YOUNG FEMALE (1000 Number)","BUFFALO YOUNG TOTAL (1000 Number)","BUFFALO SHARE IN LARGE RUMINANT (Percent)","SHEEP TOTAL (1000 Number)","SHEEP SHARE IN SMALL RUMINANT (Percent)","GOATS TOTAL (1000 Number)","GOATS SHARE IN SMALL RUMINANT (Percent)","HORSES TOTAL (1000 Number)","DONKEYS TOTAL (1000 Number)","CAMELS TOTAL (1000 Number)","PIGS TOTAL (1000 Number)","LIVESTOCK TOTAL (1000 Number)","POULTRY TOTAL (1000 Number)"
"1","1966","14","Chhattisgarh","Durg","1402.2","446.73","428.03","249.95","277.48","527.43","83.22","282.69","183.65","48.59","22.75","27.7","50.45","16.78","54.24","19.73","220.71","80.27","3.28","0.28","0.0","11.46","1974.86","258.29"
"1","1972","14","Chhattisgarh","Durg","1501.43","460.26","476.17","271.14","293.86","565.0","84.34","278.69","185.39","47.48","21.74","24.09","45.83","15.66","48.12","19.45","199.26","80.55","2.98","0.2","0.01","15.88","2046.59","435.37"
"1","1977","14","Chhattisgarh","Durg","1357.37","394.78","458.66","231.13","272.8","503.93","84.44","250.04","157.53","47.1","20.57","24.84","45.42","15.56","42.0","19.0","179.0","81.0","3.0","0.0","0.0","11.0","1842.42","376.84"
"1","1982","14","Chhattisgarh","Durg","1425.72","421.01","487.58","241.28","275.85","517.14","83.21","287.74","185.32","51.3","24.28","26.85","51.13","16.79","51.17","15.13","286.97","84.87","2.37","0.21","0.01","17.92","2072.12","577.63"
"1","1987","14","Chhattisgarh","Durg","1659.41","494.26","550.41","294.17","320.57","614.74","83.91","318.12","199.91","57.58","28.91","31.73","60.63","16.09","46.04","13.96","283.82","86.04","1.9","0.23","0.02","20.79","2330.32","611.66"
"1","1992","14","Chhattisgarh","Durg","1709.0","505.99","572.07","309.66","321.28","630.94","84.21","320.33","196.47","62.0","29.85","32.03","61.87","15.79","36.04","11.42","279.66","88.58","1.29","0.2","0.0","28.84","2375.36","929.6"
"1","1997","14","Chhattisgarh","Durg","1734.61","501.06","585.02","0.0","0.0","648.53","84.26","324.15","187.32","65.69","0.0","0.0","71.13","15.74","35.74","10.62","300.69","89.38","1.17","0.18","0.0","31.2","2427.74","1472.04"
"1","2003","14","Chhattisgarh","Durg","1730.29","500.8","540.3","322.68","366.51","689.18","83.6","339.37","163.76","87.74","28.2","59.67","87.86","16.4","16.18","5.56","275.14","94.44","0.68","0.12","0.0","34.18","2395.98","1496.52"
"1","2007","14","Chhattisgarh","Durg","2046.57","573.89","755.65","343.86","373.17","717.03","88.49","266.18","124.68","80.34","26.93","34.25","61.17","11.51","17.22","6.03","268.15","93.97","0.13","0.08","0.0","17.16","2615.5","1204.73"
"1","2012","14","Chhattisgarh","Durg","2043.17","567.09","787.81","291.44","396.82","688.25","89.29","245.0","96.41","90.91","21.93","35.78","57.69","10.71","21.32","5.99","334.66","94.01","0.33","0.08","0.0","27.09","2671.65","13556.37"
"1","2019","14","Chhattisgarh","Durg","2062.97","462.15","827.02","289.45","484.35","773.8","90.15","225.36","61.8","88.48","25.56","49.52","75.08","9.85","31.26","7.03","413.27","92.97","0.0","0.0","0.0","20.44","2753.31","0.0"
"2","1966","14","Chhattisgarh","Bastar","1138.7","377.89","372.74","179.37","208.7","388.07","89.42","134.66","91.32","21.69","10.14","11.51","21.65","10.58","8.84","2.19","394.19","97.81","0.45","0.03","0.0","142.02","1818.88","812.52"
"2","1972","14","Chhattisgarh","Bastar","1267.63","430.31","434.69","190.25","212.38","402.64","90.36","135.24","87.43","23.75","12.26","11.8","24.06","9.64","9.97","3.31","291.24","96.69","0.25","0.02","0.0","41.52","1745.87","792.5"
"2","1977","14","Chhattisgarh","Bastar","1340.21","474.8","446.8","198.13","220.48","418.61","91.25","128.55","85.63","23.14","9.54","10.24","19.78","8.75","15.0","4.05","355.0","95.95","0.0","0.0","0.0","61.0","1899.76","923.42"
"2","1982","14","Chhattisgarh","Bastar","1218.93","455.92","376.26","173.97","212.77","386.74","96.33","46.49","6.08","19.52","10.63","10.26","20.89","3.67","16.15","3.93","394.82","96.07","0.19","0.0","0.0","97.49","1774.08","936.15"
"2","1987","14","Chhattisgarh","Bastar","1475.97","557.77","442.76","215.44","260.01","475.44","89.31","176.66","125.2","24.35","13.78","13.33","27.11","10.69","22.74","4.43","490.07","95.57","0.2","0.04","0.03","155.43","2321.15","1281.69"
"2","1992","14","Chhattisgarh","Bastar","1490.6","602.32","427.46","219.23","241.6","460.83","87.51","212.78","148.43","29.18","18.79","16.38","35.17","12.49","24.91","4.68","507.66","95.32","0.14","0.01","0.0","210.83","2446.93","1588.69"
"2","1997","14","Chhattisgarh","Bastar","1577.18","642.87","442.67","0.0","0.0","491.64","86.76","240.67","160.05","33.09","0.0","0.0","47.53","13.24","31.94","5.41","558.0","94.59","0.16","0.0","0.0","251.87","2659.82","1926.86"
"2","2003","14","Chhattisgarh","Bastar","1479.5","672.72","326.02","218.53","262.24","480.76","86.92","222.63","151.25","22.28","30.88","18.23","49.11","13.08","31.76","5.67","528.17","94.33","0.2","0.0","0.0","328.33","2590.59","2035.49"
"2","2007","14","Chhattisgarh","Bastar","1629.48","696.22","493.77","219.36","220.14","439.49","86.69","250.13","149.06","51.68","25.55","23.84","49.38","13.31","25.94","4.03","618.53","95.97","0.0","0.0","0.0","283.3","2807.38","2012.62"
"2","2012","14","Chhattisgarh","Bastar","1872.57","864.08","573.4","153.21","281.9","435.12","88.47","243.96","149.22","52.04","14.63","28.06","42.71","11.53","37.46","5.19","683.82","94.81","0.15","0.03","0.03","271.48","3109.5","2855.05"
"2","2019","14","Chhattisgarh","Bastar","2009.75","927.52","563.62","187.66","330.95","518.61","91.96","175.72","108.58","33.99","11.7","21.44","33.14","8.04","39.76","4.59","826.86","95.41","0.0","0.0","0.0","382.89","3434.97","0.0"
