"Dist Code","Year","State Code","State Name","Dist Name","MARGINAL NUMBER (1000 Number)","MARGINAL AREA (1000 ha)","SMALL NUMBER (1000 Number)","SMALL AREA (1000 ha)","SEMI MEDIUM NUMBER (1000 Number)","SEMI MEDIUM AREA (1000 ha)","MEDIUM NUMBER (1000 Number)","MEDIUM AREA (1000 ha)","LARGE NUMBER (1000 Number)","LARGE AREA (1000 ha)","TOTAL NUMBER (1000 Number)","TOTAL AREA (1000 ha)"
"1","1970","14","Chhattisgarh","Durg","110.3","51.1","60.3","88.5","66.9","191.9","63.2","390.9","21.9","427.4","322.6","1149.8"
"1","1976","14","Chhattisgarh","Durg","143.99","66.85","75.98","112.03","77.92","221.87","65.96","399.69","20.0","358.88","383.86","1159.3"
"1","1980","14","Chhattisgarh","Durg","151.56","70.59","79.95","117.32","79.32","225.35","65.44","398.55","19.47","355.85","395.74","1167.68"
"1","1985","14","Chhattisgarh","Durg","204.56","93.19","101.09","145.06","90.69","252.07","65.62","392.83","16.56","284.01","478.52","1167.17"
"1","1990","14","Chhattisgarh","Durg","235.72","109.02","118.1","171.43","96.3","269.64","63.14","375.16","14.13","236.29","527.36","1161.53"
"1","1995","14","Chhattisgarh","Durg","316.6","146.08","145.35","207.57","106.16","291.94","57.98","338.86","10.13","166.04","636.2","1150.5"
"1","2000","14","Chhattisgarh","Durg","373.17","175.74","163.65","233.34","108.85","299.56","53.35","305.56","7.82","124.96","706.86","1139.15"
"1","2005","14","Chhattisgarh","Durg","425.88","192.8","176.15","251.31","110.49","300.74","49.47","283.08","6.65","105.51","768.62","1133.45"
"1","2010","14","Chhattisgarh","Durg","488.04","223.33","198.72","284.17","109.12","294.67","41.63","236.69","4.97","76.13","842.47","1114.97"
"2","1970","14","Chhattisgarh","Bastar","31.8","13.6","19.9","29.3","30.7","87.1","37.9","240.2","22.0","451.7","142.3","821.9"
"2","1976","14","Chhattisgarh","Bastar","41.77","18.86","27.59","41.13","44.28","125.71","48.66","302.07","22.07","400.26","184.37","888.02"
"2","1980","14","Chhattisgarh","Bastar","53.04","24.2","35.27","52.02","55.02","153.98","48.7","304.45","21.24","404.36","213.28","939.0"
"2","1985","14","Chhattisgarh","Bastar","69.53","32.22","46.4","68.49","72.49","191.14","50.09","305.26","19.1","374.75","257.6","971.86"
"2","1990","14","Chhattisgarh","Bastar","85.23","38.03","57.19","81.65","78.62","206.76","50.58","300.22","17.95","325.37","289.56","952.03"
"2","1995","14","Chhattisgarh","Bastar","90.91","42.36","71.95","106.91","89.76","234.08","52.99","316.59","15.2","285.59","320.8","985.52"
"2","2000","14","Chhattisgarh","Bastar","108.81","53.7","91.09","131.04","93.97","242.05","47.18","273.25","12.8","239.32","353.85","939.36"
"2","2005","14","Chhattisgarh","Bastar","120.52","60.72","98.0","141.82","96.54","252.05","46.48","274.63","12.01","229.26","373.53","958.48"
"2","2010","14","Chhattisgarh","Bastar","137.49","71.32","108.06","157.5","94.07","245.79","43.25","254.36","10.62","197.74","393.49","926.7"
"3","1970","14","Chhattisgarh","Raipur","161.6","75.4","75.0","110.8","68.6","195.3","51.7","315.1","15.9","300.7","372.8","997.3"
"3","1976","14","Chhattisgarh","Raipur","174.2","83.43","80.96","117.9","73.29","196.35","54.44","324.22","15.22","279.29","398.11","1001.18"
"3","1980","14","Chhattisgarh","Raipur","200.79","89.32","89.77","129.87","76.95","215.44","54.26","322.7","14.62","264.44","436.39","1021.77"
"3","1985","14","Chhattisgarh","Raipur","266.53","117.36","110.61","161.06","86.99","245.79","51.7","306.46","10.84","205.14","526.65","1035.82"
"3","1990","14","Chhattisgarh","Raipur","300.7","134.96","127.2","183.46","89.95","246.79","51.11","297.25","9.97","170.53","578.93","1032.99"
"3","1995","14","Chhattisgarh","Raipur","366.88","164.38","141.97","202.35","95.13","259.07","45.36","259.76","6.8","113.07","656.13","998.62"
"3","2000","14","Chhattisgarh","Raipur","426.97","192.62","165.42","235.04","95.75","261.53","41.46","237.71","5.12","79.73","734.72","1006.64"
"3","2005","14","Chhattisgarh","Raipur","460.92","206.18","171.63","240.92","95.17","258.13","38.95","219.58","4.19","68.05","770.86","992.85"
"3","2010","14","Chhattisgarh","Raipur","521.94","231.75","188.89","266.22","92.01","248.38","31.95","179.42","3.11","48.64","837.91","974.4"
"4","1970","14","Chhattisgarh","Bilaspur","238.3","96.7","81.8","120.0","68.3","197.8","46.4","280.6","11.3","195.9","446.1","891.0"
"4","1976","14","Chhattisgarh","Bilaspur","270.02","108.82","87.37","126.45","72.72","205.43","47.0","279.1","10.29","173.08","487.39","892.88"
