"Dist Code","Year","State Code","State Name","Dist Name","TOTAL POPULATION (1000 Number)","TOTAL MALE POPULATION (1000 Number)","TOTAL FEMALE POPULATION (1000 Number)","TOTAL RURAL POPULATION (1000 Number)","RURAL MALE POPULATION (1000 Number)","RURAL FEMALE POPULATION (1000 Number)","TOTAL URBAN POPULATION (1000 Number)","URBAN MALE POPULATION (1000 Number)","URBAN FEMALE POPULATION (1000 Number)","ST TOTAL POPULATION (1000 Number)","ST MALE POPULATION (1000 Number)","ST FEMALE POPULATION (1000 Number)","ST RURAL TOTAL POPULATION (1000 Number)","ST RURAL MALE POPULATION (1000 Number)","ST RURAL FEMALE POPULATION (1000 Number)","ST URBAN TOTAL POPULATION (1000 Number)","ST URBAN MALE POPULATION (1000 Number)","ST URBAN FEMALE POPULATION (1000 Number)","SC TOTAL POPULATION (1000 Number)","SC MALE POPULATION (1000 Number)","SC FEMALE POPULATION (1000 Number)","SC RURAL TOTAL POPULATION (1000 Number)","SC RURAL MALE POPULATION (1000 Number)","SC RURAL FEMALE POPULATION (1000 Number)","SC URBAN TOTAL POPULATION (1000 Number)","SC URBAN MALE POPULATION (1000 Number)","SC URBAN FEMALE POPULATION (1000 Number)","TOTAL LITERATES POPULATION (1000 Number)","MALE LITERATES POPULATION (1000 Number)","FEMALE LITERATES POPULATION (1000 Number)","TOTAL RURAL LITERATES POPULATION (1000 Number)","RURAL MALE LITERATES POPULATION (1000 Number)","RURAL FEMALE LITERATES POPULATION (1000 Number)","TOTAL URBAN LITERATES POPULATION (1000 Number)","URBAN MALE LITERATES POPULATION (1000 Number)","URBAN FEMALE LITERATES POPULATION (1000 Number)","TOTAL CULTIVATORS POPULATION (1000 Number)","MALE CULTIVATORS POPULATION (1000 Number)","FEMALE CULTIVATORS POPULATION (1000 Number)","TOTAL RURAL CULTIVATORS POPULATION (1000 Number)","RURAL MALE CULTIVATORS POPULATION (1000 Number)","RURAL FEMALE CULTIVATORS POPULATION (1000 Number)","TOTAL URBAN CULTIVATORS POPULATION (1000 Number)","URBAN MALE CULTIVATORS POPULATION (1000 Number)","URBAN FEMALE CULTIVATORS POPULATION (1000 Number)","TOTAL AGRICULTURAL LABOUR POPULATION (1000 Number)","MALE AGRICULTURAL LABOUR POPULATION (1000 Number)","FEMALE AGRICULTURAL LABOUR POPULATION (1000 Number)","TOTAL RURAL AGRICULTURAL LABOUR POPULATION (1000 Number)","RURAL MALE AGRICULTURAL LABOUR POPULATION (1000 Number)","RURAL FEMALE AGRICULTURAL LABOUR POPULATION (1000 Number)","TOTAL URBAN AGRICULTURAL LABOUR POPULATION (1000 Number)","URBAN MALE AGRICULTURAL LABOUR POPULATION (1000 Number)","URBAN FEMALE AGRICULTURAL LABOUR POPULATION (1000 Number)","NON AGRICULTURAL WORKERS POPULATION (1000 Number)","AGRICULTURAL WORKERS POPULATION (1000 Number)","TOTAL WORKERS POPULATION (1000 Number)"
"1","1961","14","Chhattisgarh","Durg","1885.24","946.15","939.08","1649.68","808.08","841.6","235.55","138.07","97.48","208.78","102.63","106.14","201.82","99.03","102.8","6.95","3.61","3.35","206.87","102.51","104.37","190.58","93.61","96.97","16.29","8.9","7.4","336.48","277.62","58.86","232.36","198.48","33.88","104.12","79.14","24.98","679.56","330.1","349.46","672.47","325.9","346.56","7.1","4.2","2.9","205.27","100.17","105.1","203.65","99.44","104.21","1.62","0.73","0.89","781.81","884.83","1666.64"
"1","1971","14","Chhattisgarh","Durg","2461.53","1234.66","1226.86","2064.61","1021.81","1042.8","396.92","212.85","184.06","266.87","130.41","136.46","257.18","125.34","131.84","9.69","5.07","4.62","251.09","124.75","126.33","225.41","111.28","114.13","25.67","13.48","12.19","609.12","459.59","149.53","414.01","331.28","82.73","195.11","128.31","66.8","648.74","364.66","284.08","644.03","361.28","282.75","4.71","3.38","1.33","280.95","130.91","150.04","275.09","127.68","147.41","5.86","3.23","2.63","1455.2","929.69","2384.89"
"1","1981","14","Chhattisgarh","Durg","3057.97","1532.66","1525.32","2312.61","1139.21","1173.41","745.35","393.45","351.9","534.08","261.75","272.33","495.63","241.67","253.96","38.46","20.08","18.38","333.92","165.4","168.52","258.98","126.69","132.3","74.94","38.71","36.23","1028.32","725.76","302.57","619.02","466.97","152.05","409.31","258.78","150.52","748.09","382.81","365.28","739.21","377.32","361.9","8.88","5.5","3.38","338.55","150.2","188.35","328.36","145.2","183.16","10.18","5.0","5.18","1633.68","1086.64","2720.32"
"1","1991","14","Chhattisgarh","Durg","3837.08","1934.36","1902.72","2764.91","1372.06","1392.86","1072.17","562.3","509.87","660.42","325.47","334.94","598.9","293.41","305.5","61.51","32.07","29.45","453.94","227.81","226.13","326.56","162.51","164.06","127.38","65.3","62.08","1664.34","1090.37","573.96","1013.36","695.13","318.24","650.99","395.26","255.73","893.6","449.4","444.3","876.1","438.7","437.4","17.5","10.7","6.8","399.1","176.1","223.1","377.8","165.9","212.0","21.2","10.2","11.0","2108.72","1292.7","3401.42"
"1","2001","14","Chhattisgarh","Durg","4375.9","2193.1","2182.8","3054.44","1510.49","1543.95","1321.46","682.61","638.85","777.08","381.59","395.49","695.42","339.7","355.72","81.67","41.89","39.77","539.72","269.65","270.07","366.56","181.78","184.77","173.17","87.87","85.3","2761.76","1581.93","1179.83","1816.24","1044.31","771.93","945.53","537.62","407.9","834.28","426.32","407.96","815.76","415.45","400.31","18.53","10.87","7.65","561.15","228.79","332.36","536.25","218.87","317.38","24.9","9.91","14.98","1647.6","1395.43","3043.04"
"1","2011","14","Chhattisgarh","Durg","5465.0","2737.52","2727.48","3845.67","1913.6","1932.07","1619.33","823.92","795.42","921.21","452.69","468.53","817.34","400.71","416.63","103.88","51.97","51.91","699.72","348.76","350.95","476.76","237.29","239.48","222.95","111.47","111.49","3605.82","2022.41","1583.41","2386.76","1357.5","1029.26","1219.06","664.9","554.15","853.5","471.75","381.75","832.29","457.98","374.31","21.21","13.78","7.44","982.48","449.38","533.09","932.57","425.46","507.13","49.91","23.92","25.98","2881.15","1835.98","4717.13"
"2","1961","14","Chhattisgarh","Bastar","1167.5","582.4","585.1","1140.6","568.27","572.33","26.9","14.13","12.77","843.75","418.65","425.1","841.21","417.22","424.0","2.54","1.43","1.11","64.1","31.81","32.28","62.47","31.01","31.47","1.62","0.81","0.82","80.65","68.07","12.58","67.67","59.27","8.41","12.98","8.8","4.18","539.46","278.15","261.31","538.45","277.63","260.82","1.01","0.52","0.49","95.57","47.04","48.54","95.4","46.97","48.43","0.17","0.06","0.11","460.34","635.03","1095.37"
"2","1971","14","Chhattisgarh","Bastar","1514.4","758.86","755.54","1457.85","728.21","729.63","56.55","30.65","25.91","1033.95","514.35","519.6","1028.37","511.26","517.11","5.58","3.09","2.48","48.46","24.15","24.31","46.2","23.03","23.17","2.26","1.12","1.14","146.06","115.15","30.91","118.23","96.9","21.33","27.83","18.25","9.58","377.31","313.47","63.85","375.97","312.25","63.72","1.34","1.22","0.12","127.7","73.78","53.91","126.42","72.97","53.45","1.28","0.81","0.47","1002.39","505.01","1507.4"
"2","1981","14","Chhattisgarh","Bastar","1842.85","920.32","922.53","1731.15","861.85","869.3","111.71","58.47","53.23","1249.2","619.67","629.53","1232.04","610.29","621.75","17.16","9.38","7.78","101.18","50.45","50.73","92.21","45.93","46.28","8.97","4.51","4.45","948.75","688.23","260.52","662.01","509.45","152.55","28.67","17.88","10.8","698.6","404.78","293.82","688.22","397.71","290.51","10.38","7.07","3.32","422.71","203.77","218.94","411.1","198.21","212.89","11.62","5.56","6.06","1030.01","1121.31","2151.32"
"2","1991","14","Chhattisgarh","Bastar","2271.31","1134.49","1136.83","2109.43","1050.94","1058.49","161.88","83.55","78.34","1529.89","759.02","770.86","1501.31","744.13","757.18","28.58","14.89","13.69","132.88","66.41","66.47","116.25","58.04","58.21","16.64","8.37","8.27","451.65","312.64","139.01","355.13","255.69","99.45","96.52","56.96","39.56","731.0","484.1","246.9","727.8","481.6","246.2","3.2","2.5","0.7","146.9","69.9","77.0","143.3","67.8","75.5","3.6","2.1","1.5","1272.55","877.9","2150.45"
