"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","WHEAT AREA (1000 ha)","SORGHUM AREA (1000 ha)","PEARL MILLET AREA (1000 ha)","MAIZE AREA (1000 ha)","FINGER MILLET AREA (1000 ha)","TOTAL AREA (1000 ha)"
"1","1966","14","Chhattisgarh","Durg","12.2","0.4","0.0","0.0","0.3","0.0","12.9"
"1","1967","14","Chhattisgarh","Durg","13.9","0.6","0.7","0.0","1.7","0.0","16.9"
"1","1968","14","Chhattisgarh","Durg","26.7","1.3","0.0","0.0","1.2","0.0","29.2"
"1","1969","14","Chhattisgarh","Durg","38.4","0.8","0.0","0.0","1.2","0.0","40.4"
"1","1970","14","Chhattisgarh","Durg","50.3","2.1","0.0","0.0","0.4","0.0","52.8"
"1","1971","14","Chhattisgarh","Durg","92.4","2.2","0.0","0.0","0.3","0.0","94.9"
"1","1972","14","Chhattisgarh","Durg","115.3","5.2","0.0","0.0","0.0","0.0","120.5"
"1","1973","14","Chhattisgarh","Durg","157.6","6.6","0.0","0.0","0.0","0.0","164.2"
"1","1974","14","Chhattisgarh","Durg","173.9","8.0","0.0","0.0","0.2","0.0","182.1"
"1","1975","14","Chhattisgarh","Durg","245.3","9.3","0.0","0.0","0.8","0.0","255.4"
"1","1976","14","Chhattisgarh","Durg","260.7","12.6","0.0","0.0","0.2","0.0","273.5"
"1","1977","14","Chhattisgarh","Durg","361.8","5.7","0.0","0.0","0.3","0.0","367.8"
"1","1978","14","Chhattisgarh","Durg","260.2","5.4","0.0","0.0","0.3","0.0","265.9"
"1","1979","14","Chhattisgarh","Durg","187.3","0.1","0.0","0.0","0.1","0.0","187.5"
"1","1980","14","Chhattisgarh","Durg","128.3","9.3","0.0","0.0","0.1","0.0","137.7"
"1","1981","14","Chhattisgarh","Durg","137.6","9.3","0.0","0.0","0.0","0.0","146.9"
"1","1982","14","Chhattisgarh","Durg","232.6","13.1","0.0","0.0","0.0","0.0","245.7"
"1","1983","14","Chhattisgarh","Durg","193.9","15.8","0.0","0.0","0.0","0.0","209.7"
"1","1984","14","Chhattisgarh","Durg","250.0","10.9","0.0","0.0","0.0","0.0","260.9"
"1","1985","14","Chhattisgarh","Durg","248.6","18.4","0.1","0.0","0.4","0.0","267.5"
"1","1986","14","Chhattisgarh","Durg","264.0","18.5","0.0","0.0","0.0","0.0","282.5"
"1","1987","14","Chhattisgarh","Durg","402.5","21.9","0.0","0.0","0.0","0.0","424.4"
"1","1988","14","Chhattisgarh","Durg","356.5","24.3","0.0","0.0","0.0","0.0","380.8"
"1","1989","14","Chhattisgarh","Durg","389.9","22.6","0.0","0.0","0.0","0.0","412.5"
