"Dist Code","Year","State Code","State Name","Dist Name","PRINCIPLE MARKETS NUMBER (Number)","SUB MARKETS NUMBER (Number)","TOTAL MARKETS NUMBER (Number)","ROAD LENGTH NUMBER (KILOMETER)"
"1","1970","14","Chhattisgarh","Durg","7.0","-1.0","7.0","2395.0"
"1","1971","14","Chhattisgarh","Durg","7.0","-1.0","7.0","2517.0"
"1","1972","14","Chhattisgarh","Durg","7.0","-1.0","7.0","2643.0"
"1","1973","14","Chhattisgarh","Durg","7.0","-1.0","7.0","2772.0"
"1","1974","14","Chhattisgarh","Durg","7.0","-1.0","7.0","2905.0"
"1","1975","14","Chhattisgarh","Durg","7.0","-1.0","7.0","3043.0"
"1","1976","14","Chhattisgarh","Durg","8.0","-1.0","8.0","3185.0"
"1","1977","14","Chhattisgarh","Durg","8.0","-1.0","8.0","3331.0"
"1","1978","14","Chhattisgarh","Durg","8.0","-1.0","8.0","3483.0"
"1","1979","14","Chhattisgarh","Durg","8.0","-1.0","8.0","3640.0"
"1","1980","14","Chhattisgarh","Durg","8.0","-1.0","8.0","3802.0"
"1","1981","14","Chhattisgarh","Durg","8.0","-1.0","8.0","3970.0"
"1","1982","14","Chhattisgarh","Durg","8.0","-1.0","8.0","4078.0"
"1","1983","14","Chhattisgarh","Durg","8.0","4.0","12.0","4624.0"
"1","1984","14","Chhattisgarh","Durg","8.0","5.0","13.0","4835.0"
"1","1985","14","Chhattisgarh","Durg","9.0","5.0","14.0","5051.0"
"1","1986","14","Chhattisgarh","Durg","9.0","5.0","14.0","5271.0"
"1","1987","14","Chhattisgarh","Durg","9.0","7.0","16.0","5496.0"
"1","1988","14","Chhattisgarh","Durg","9.0","7.0","16.0","5727.0"
"1","1989","14","Chhattisgarh","Durg","9.0","7.0","16.0","5962.0"
"1","1990","14","Chhattisgarh","Durg","9.0","8.0","17.0","6203.0"
"1","1991","14","Chhattisgarh","Durg","10.0","8.0","18.0","6449.0"
"1","1992","14","Chhattisgarh","Durg","10.0","8.0","18.0","6701.0"
"1","1993","14","Chhattisgarh","Durg","10.0","8.0","18.0","6959.0"
"1","1994","14","Chhattisgarh","Durg","10.0","8.0","18.0","7040.0"
"1","1995","14","Chhattisgarh","Durg","10.0","8.0","18.0","7242.0"
"1","1996","14","Chhattisgarh","Durg","10.0","8.0","18.0","-1.0"
"1","1997","14","Chhattisgarh","Durg","10.0","8.0","18.0","-1.0"
"1","1998","14","Chhattisgarh","Durg","10.0","8.0","18.0","-1.0"
"1","1999","14","Chhattisgarh","Durg","10.0","8.0","18.0","-1.0"
"2","1970","14","Chhattisgarh","Bastar","7.0","2.0","9.0","1782.0"
"2","1971","14","Chhattisgarh","Bastar","7.0","2.0","9.0","1876.0"
"2","1972","14","Chhattisgarh","Bastar","7.0","2.0","9.0","1974.0"
"2","1973","14","Chhattisgarh","Bastar","7.0","2.0","9.0","2078.0"
"2","1974","14","Chhattisgarh","Bastar","7.0","2.0","9.0","2188.0"
"2","1975","14","Chhattisgarh","Bastar","8.0","3.0","11.0","2303.0"
"2","1976","14","Chhattisgarh","Bastar","8.0","3.0","11.0","2424.0"
"2","1977","14","Chhattisgarh","Bastar","8.0","3.0","11.0","2552.0"
"2","1978","14","Chhattisgarh","Bastar","8.0","3.0","11.0","2686.0"
"2","1979","14","Chhattisgarh","Bastar","8.0","3.0","11.0","2827.0"
"2","1980","14","Chhattisgarh","Bastar","8.0","3.0","11.0","2976.0"
"2","1981","14","Chhattisgarh","Bastar","8.0","5.0","13.0","3133.0"
"2","1982","14","Chhattisgarh","Bastar","8.0","15.0","23.0","3301.0"
"2","1983","14","Chhattisgarh","Bastar","8.0","21.0","29.0","3445.0"
"2","1984","14","Chhattisgarh","Bastar","8.0","21.0","29.0","4134.0"
"2","1985","14","Chhattisgarh","Bastar","8.0","21.0","29.0","4961.0"
"2","1986","14","Chhattisgarh","Bastar","8.0","21.0","29.0","5953.0"
"2","1987","14","Chhattisgarh","Bastar","8.0","21.0","29.0","7144.0"
"2","1988","14","Chhattisgarh","Bastar","8.0","21.0","29.0","8573.0"
"2","1989","14","Chhattisgarh","Bastar","10.0","22.0","32.0","8632.0"
"2","1990","14","Chhattisgarh","Bastar","11.0","22.0","33.0","8632.0"
"2","1991","14","Chhattisgarh","Bastar","11.0","22.0","33.0","8632.0"
"2","1992","14","Chhattisgarh","Bastar","11.0","22.0","33.0","8632.0"
"2","1993","14","Chhattisgarh","Bastar","11.0","22.0","33.0","8632.0"
"2","1994","14","Chhattisgarh","Bastar","11.0","22.0","33.0","8632.0"
"2","1995","14","Chhattisgarh","Bastar","11.0","22.0","33.0","4704.0"
"2","1996","14","Chhattisgarh","Bastar","11.0","22.0","33.0","-1.0"
"2","1997","14","Chhattisgarh","Bastar","11.0","22.0","33.0","-1.0"
"2","1998","14","Chhattisgarh","Bastar","11.0","22.0","33.0","-1.0"
"2","1999","14","Chhattisgarh","Bastar","11.0","22.0","33.0","-1.0"
"3","1970","14","Chhattisgarh","Raipur","14.0","2.0","16.0","1992.0"
"3","1971","14","Chhattisgarh","Raipur","14.0","2.0","16.0","2228.0"
"3","1972","14","Chhattisgarh","Raipur","14.0","2.0","16.0","2464.0"
"3","1973","14","Chhattisgarh","Raipur","14.0","5.0","19.0","2700.0"
"3","1974","14","Chhattisgarh","Raipur","14.0","6.0","20.0","2936.0"
"3","1975","14","Chhattisgarh","Raipur","14.0","6.0","20.0","3172.0"
"3","1976","14","Chhattisgarh","Raipur","14.0","6.0","20.0","3408.0"
"3","1977","14","Chhattisgarh","Raipur","14.0","6.0","20.0","3644.0"
"3","1978","14","Chhattisgarh","Raipur","14.0","6.0","20.0","3880.0"
"3","1979","14","Chhattisgarh","Raipur","14.0","6.0","20.0","4116.0"
"3","1980","14","Chhattisgarh","Raipur","14.0","6.0","20.0","4352.0"
"3","1981","14","Chhattisgarh","Raipur","14.0","7.0","21.0","4588.0"
"3","1982","14","Chhattisgarh","Raipur","14.0","16.0","30.0","4823.0"
"3","1983","14","Chhattisgarh","Raipur","14.0","17.0","31.0","5497.0"
"3","1984","14","Chhattisgarh","Raipur","14.0","17.0","31.0","5727.0"
"3","1985","14","Chhattisgarh","Raipur","14.0","17.0","31.0","5957.0"
"3","1986","14","Chhattisgarh","Raipur","14.0","17.0","31.0","6186.0"
"3","1987","14","Chhattisgarh","Raipur","15.0","18.0","33.0","6416.0"
"3","1988","14","Chhattisgarh","Raipur","17.0","21.0","38.0","6645.0"
"3","1989","14","Chhattisgarh","Raipur","18.0","21.0","39.0","6875.0"
"3","1990","14","Chhattisgarh","Raipur","18.0","21.0","39.0","7104.0"
