"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN KHARIF CONSUMPTION (tons)","NITROGEN RABI CONSUMPTION (tons)","PHOSPHATE KHARIF CONSUMPTION (tons)","PHOSPHATE RABI CONSUMPTION (tons)","POTASH KHARIF CONSUMPTION (tons)","POTASH RABI CONSUMPTION (tons)","TOTAL KHARIF CONSUMPTION (tons)","TOTAL RABI CONSUMPTION (tons)"
"1","1990","14","Chhattisgarh","Durg","19473.0","2671.0","6665.0","2373.0","2173.0","1159.0","28311.0","6203.0"
"1","1991","14","Chhattisgarh","Durg","17068.0","2671.0","12021.0","2482.0","4254.0","1025.0","33343.0","6178.0"
"1","1993","14","Chhattisgarh","Durg","22535.0","2529.0","12724.0","2599.0","4443.0","791.0","39702.0","5919.0"
"1","1994","14","Chhattisgarh","Durg","25864.0","3097.0","12740.0","1766.0","2294.0","681.0","40898.0","5544.0"
"1","1995","14","Chhattisgarh","Durg","25864.0","3097.0","12740.0","1766.0","2294.0","681.0","40898.0","5544.0"
"1","1996","14","Chhattisgarh","Durg","25864.0","3097.0","12740.0","1766.0","2294.0","681.0","40898.0","5544.0"
"1","1997","14","Chhattisgarh","Durg","33070.0","3513.0","14370.0","1671.0","4225.0","533.0","51665.0","5717.0"
"1","1998","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"1","1999","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"1","2000","14","Chhattisgarh","Durg","32672.0","2678.0","16859.0","1533.0","5189.0","533.0","54720.0","4744.0"
"1","2001","14","Chhattisgarh","Durg","38394.0","1301.0","16541.0","1080.0","4504.0","188.0","59438.0","2569.0"
"1","2002","14","Chhattisgarh","Durg","30430.0","2785.0","15215.0","1744.0","5287.0","622.0","50932.0","5151.0"
"1","2003","14","Chhattisgarh","Durg","29742.0","2925.0","12891.0","1840.0","4777.0","728.0","47410.0","5492.0"
"1","2004","14","Chhattisgarh","Durg","41013.0","7944.0","18251.0","5116.0","6772.0","1926.0","66037.0","14985.0"
"1","2005","14","Chhattisgarh","Durg","43026.0","9862.0","15991.0","7921.0","8358.0","2108.0","67376.0","19891.0"
"1","2006","14","Chhattisgarh","Durg","55815.0","8163.0","24078.0","6697.0","9620.0","2772.0","89513.0","17633.0"
"1","2007","14","Chhattisgarh","Durg","47357.0","12975.0","21754.0","5804.0","9490.0","1968.0","78600.0","20746.0"
"1","2008","14","Chhattisgarh","Durg","42685.0","9721.0","26565.0","7292.0","14591.0","3011.0","83841.0","20023.0"
"1","2009","14","Chhattisgarh","Durg","63105.0","9749.0","37491.0","3708.0","14304.0","3787.0","114900.0","17244.0"
"1","2010","14","Chhattisgarh","Durg","62347.0","15081.0","36206.0","8979.0","17515.0","2028.0","116068.0","26088.0"
"1","2011","14","Chhattisgarh","Durg","53404.0","19439.0","31989.0","13826.0","12947.0","4392.0","98340.0","37657.0"
"1","2012","14","Chhattisgarh","Durg","70900.0","22825.0","34861.0","15613.0","12797.0","3417.0","118558.0","41855.0"
"1","2013","14","Chhattisgarh","Durg","58995.0","21750.0","29544.0","12685.0","13585.0","2539.0","102124.0","36973.0"
"1","2014","14","Chhattisgarh","Durg","71237.0","21223.0","39946.0","14412.0","12256.0","3997.0","123439.0","39632.0"
"1","2015","14","Chhattisgarh","Durg","78704.0","30395.0","39954.0","22456.0","13614.0","5809.0","132272.0","58661.0"
"1","2016","14","Chhattisgarh","Durg","80005.0","23323.0","47584.0","19312.0","13703.0","7011.0","141291.0","49645.0"
"1","2017","14","Chhattisgarh","Durg","73484.0","17963.0","40849.0","12637.0","14690.0","2303.0","129024.0","32902.0"
"2","1990","14","Chhattisgarh","Bastar","1061.0","723.0","784.0","382.0","152.0","65.0","1997.0","1170.0"
"2","1991","14","Chhattisgarh","Bastar","2294.0","723.0","850.0","398.0","269.0","66.0","3413.0","1187.0"
"2","1993","14","Chhattisgarh","Bastar","2863.0","403.0","1384.0","319.0","467.0","116.0","4714.0","838.0"
"2","1994","14","Chhattisgarh","Bastar","3273.0","445.0","1541.0","187.0","354.0","86.0","5168.0","718.0"
"2","1995","14","Chhattisgarh","Bastar","3273.0","445.0","1541.0","187.0","354.0","86.0","5168.0","718.0"
"2","1996","14","Chhattisgarh","Bastar","3273.0","445.0","1541.0","187.0","354.0","86.0","5168.0","718.0"
"2","1997","14","Chhattisgarh","Bastar","6845.0","732.0","1988.0","308.0","792.0","123.0","9625.0","1163.0"
"2","1998","14","Chhattisgarh","Bastar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"2","1999","14","Chhattisgarh","Bastar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
