"Dist Code","Year","State Code","State Name","Dist Name","DISTRICT MALE FIELD LABOUR (Rs per Day)","DISTRICT FEMALE FIELD LABOUR (Rs per Day)","STATE MALE AVERAGE FIELD LABOUR (Rs per Day)","STATE FEMALE AVERAGE FIELD LABOUR (Rs per Day)"
"1","1966","14","Chhattisgarh","Durg","1.5","1.0","1.8","1.0"
"1","1967","14","Chhattisgarh","Durg","1.5","1.0","2.1","1.0"
"1","1968","14","Chhattisgarh","Durg","1.8","1.5","2.0","1.5"
"1","1969","14","Chhattisgarh","Durg","1.8","1.5","2.2","1.5"
"1","1970","14","Chhattisgarh","Durg","2.0","1.25","2.2","1.25"
"1","1971","14","Chhattisgarh","Durg","2.0","1.0","2.4","1.0"
"1","1972","14","Chhattisgarh","Durg","2.0","-1.0","-1.0","-1.0"
"1","1973","14","Chhattisgarh","Durg","2.0","-1.0","-1.0","-1.0"
"1","1974","14","Chhattisgarh","Durg","3.0","-1.0","-1.0","-1.0"
"1","1975","14","Chhattisgarh","Durg","3.5","-1.0","-1.0","-1.0"
"1","1976","14","Chhattisgarh","Durg","3.7","-1.0","-1.0","-1.0"
"1","1977","14","Chhattisgarh","Durg","3.5","-1.0","-1.0","-1.0"
"1","1978","14","Chhattisgarh","Durg","3.5","-1.0","-1.0","-1.0"
"1","1979","14","Chhattisgarh","Durg","3.6","-1.0","-1.0","-1.0"
"1","1980","14","Chhattisgarh","Durg","3.4","-1.0","-1.0","-1.0"
"1","1981","14","Chhattisgarh","Durg","4.2","4.0","5.36","4.0"
"1","1982","14","Chhattisgarh","Durg","5.0","-1.0","-1.0","-1.0"
"1","1983","14","Chhattisgarh","Durg","8.0","4.5","8.16","4.5"
"1","1984","14","Chhattisgarh","Durg","8.2","8.2","9.0","8.2"
"1","1985","14","Chhattisgarh","Durg","8.2","8.2","9.75","8.2"
"1","1986","14","Chhattisgarh","Durg","9.1","8.2","10.64","8.2"
"1","1987","14","Chhattisgarh","Durg","9.7","8.2","11.46","8.2"
"1","1988","14","Chhattisgarh","Durg","10.3","8.0","13.06","8.0"
"1","1989","14","Chhattisgarh","Durg","12.5","8.0","15.04","8.0"
"1","1990","14","Chhattisgarh","Durg","15.0","14.6","17.46","14.6"
"1","1991","14","Chhattisgarh","Durg","17.7","12.0","20.13","12.0"
"1","1992","14","Chhattisgarh","Durg","21.0","15.0","23.91","15.0"
"1","1993","14","Chhattisgarh","Durg","-1.0","12.0","24.82","12.0"
"1","1994","14","Chhattisgarh","Durg","-1.0","15.0","28.86","15.0"
"1","1995","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0"
"1","1996","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0"
"1","1997","14","Chhattisgarh","Durg","40.0","15.0","37.83","15.0"
"1","1998","14","Chhattisgarh","Durg","62.5","24.67","41.9","24.67"
"1","1999","14","Chhattisgarh","Durg","88.13","20.0","45.31","20.0"
"1","2000","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0"
"1","2001","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0"
"1","2002","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0"
"1","2003","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0"
"1","2004","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0"
"1","2005","14","Chhattisgarh","Durg","33.19","24.67","47.0","24.67"
"1","2006","14","Chhattisgarh","Durg","37.35","25.0","48.07","25.0"
"1","2007","14","Chhattisgarh","Durg","43.54","38.61","53.85","38.61"
"1","2008","14","Chhattisgarh","Durg","45.0","40.0","63.82","40.0"
"1","2009","14","Chhattisgarh","Durg","67.92","51.67","71.45","51.67"
"1","2012","14","Chhattisgarh","Durg","262.5","-1.0","125.02","-1.0"
"1","2014","14","Chhattisgarh","Durg","195.45","-1.0","176.0","-1.0"
"1","2015","14","Chhattisgarh","Durg","242.86","-1.0","180.8","-1.0"
"1","2016","14","Chhattisgarh","Durg","260.0","-1.0","201.0","-1.0"
"1","2017","14","Chhattisgarh","Durg","246.0","-1.0","200.0","-1.0"
"2","1966","14","Chhattisgarh","Bastar","1.4","0.75","1.8","0.75"
"2","1967","14","Chhattisgarh","Bastar","1.5","0.75","2.1","0.75"
"2","1968","14","Chhattisgarh","Bastar","1.5","1.0","2.0","1.0"
"2","1969","14","Chhattisgarh","Bastar","2.0","1.25","2.2","1.25"
"2","1970","14","Chhattisgarh","Bastar","2.0","1.5","2.2","1.5"
"2","1971","14","Chhattisgarh","Bastar","2.0","1.5","2.4","1.5"
"2","1972","14","Chhattisgarh","Bastar","2.0","-1.0","-1.0","-1.0"
"2","1973","14","Chhattisgarh","Bastar","2.0","-1.0","-1.0","-1.0"
"2","1974","14","Chhattisgarh","Bastar","4.4","-1.0","-1.0","-1.0"
