"Dist Code","Year","State Code","State Name","Dist Name","DESHI PRODUCTION (Lakh Number)","IMPROVED PRODUCTION (Lakh Number)","TOTAL PRODUCTION (Lakh Number)"
"1","2007","14","Chhattisgarh","Durg","127.95","1074.78","1404.19"
"1","2008","14","Chhattisgarh","Durg","141.24","1044.84","1612.72"
"1","2009","14","Chhattisgarh","Durg","142.79","1189.15","1763.02"
"1","2010","14","Chhattisgarh","Durg","122.05","4489.53","4612.84"
"1","2011","14","Chhattisgarh","Durg","138.92","4782.24","4922.76"
"1","2012","14","Chhattisgarh","Durg","140.0","5393.31","5534.99"
"1","2013","14","Chhattisgarh","Durg","156.79","5882.72","6041.17"
"1","2014","14","Chhattisgarh","Durg","145.99","7171.49","7323.96"
"1","2015","14","Chhattisgarh","Durg","172.31","6178.87","6353.83"
"2","2007","14","Chhattisgarh","Bastar","598.88","1657.15","2403.01"
"2","2008","14","Chhattisgarh","Bastar","622.09","1633.7","2475.97"
"2","2009","14","Chhattisgarh","Bastar","645.26","1775.5","2633.82"
"2","2010","14","Chhattisgarh","Bastar","528.41","334.15","901.51"
"2","2011","14","Chhattisgarh","Bastar","529.35","325.44","892.34"
"2","2012","14","Chhattisgarh","Bastar","538.78","322.2","902.49"
"2","2013","14","Chhattisgarh","Bastar","542.31","328.87","913.08"
"2","2014","14","Chhattisgarh","Bastar","658.48","343.93","1063.6"
"2","2015","14","Chhattisgarh","Bastar","740.28","489.64","1268.58"
"3","2007","14","Chhattisgarh","Raipur","187.1","1678.18","2254.17"
"3","2008","14","Chhattisgarh","Raipur","191.08","1606.55","2353.28"
"3","2009","14","Chhattisgarh","Raipur","197.23","1762.02","2568.17"
"3","2010","14","Chhattisgarh","Raipur","184.08","5099.73","5301.98"
"3","2011","14","Chhattisgarh","Raipur","196.89","5142.27","5357.97"
"3","2012","14","Chhattisgarh","Raipur","202.06","5286.23","5507.04"
"3","2013","14","Chhattisgarh","Raipur","215.92","5142.08","5376.76"
"3","2014","14","Chhattisgarh","Raipur","196.43","4780.64","4996.8"
"3","2015","14","Chhattisgarh","Raipur","184.68","5835.86","6032.98"
"4","2007","14","Chhattisgarh","Bilaspur","186.8","981.66","1255.93"
"4","2008","14","Chhattisgarh","Bilaspur","197.94","986.73","1330.73"
"4","2009","14","Chhattisgarh","Bilaspur","206.98","1128.09","1437.23"
"4","2010","14","Chhattisgarh","Bilaspur","179.84","397.42","580.45"
"4","2011","14","Chhattisgarh","Bilaspur","178.09","464.89","645.1"
"4","2012","14","Chhattisgarh","Bilaspur","172.65","472.09","646.73"
"4","2013","14","Chhattisgarh","Bilaspur","211.09","640.82","854.92"
"4","2014","14","Chhattisgarh","Bilaspur","194.57","328.79","541.42"
"4","2015","14","Chhattisgarh","Bilaspur","216.74","327.38","545.92"
"5","2007","14","Chhattisgarh","Raigarh","221.31","812.83","1054.97"
"5","2008","14","Chhattisgarh","Raigarh","233.63","814.54","1107.73"
"5","2009","14","Chhattisgarh","Raigarh","244.31","921.46","1193.57"
"5","2010","14","Chhattisgarh","Raigarh","210.64","167.31","383.75"
"5","2011","14","Chhattisgarh","Raigarh","246.84","223.92","478.12"
"5","2012","14","Chhattisgarh","Raigarh","243.74","226.93","477.58"
"5","2013","14","Chhattisgarh","Raigarh","249.24","227.8","484.11"
"5","2014","14","Chhattisgarh","Raigarh","162.12","161.76","336.08"
"5","2015","14","Chhattisgarh","Raigarh","173.53","177.83","354.48"
"6","2007","14","Chhattisgarh","Surguja","282.64","488.58","810.06"
"6","2008","14","Chhattisgarh","Surguja","299.43","505.42","858.26"
"6","2009","14","Chhattisgarh","Surguja","314.02","564.29","932.88"
"6","2010","14","Chhattisgarh","Surguja","259.85","412.38","673.81"
"6","2011","14","Chhattisgarh","Surguja","259.49","431.12","692.09"
"6","2012","14","Chhattisgarh","Surguja","204.21","437.01","642.92"
"6","2013","14","Chhattisgarh","Surguja","217.14","442.4","661.45"
"6","2014","14","Chhattisgarh","Surguja","239.13","218.92","469.97"
"6","2015","14","Chhattisgarh","Surguja","300.46","169.87","472.66"
"7","2005","6","Madhya Pradesh","Jabalpur","-1.0","-1.0","3748.0"
"7","2006","6","Madhya Pradesh","Jabalpur","-1.0","-1.0","3711.3"
"7","2007","6","Madhya Pradesh","Jabalpur","-1.0","-1.0","4392.8"
"7","2008","6","Madhya Pradesh","Jabalpur","-1.0","-1.0","1980.1"
"7","2009","6","Madhya Pradesh","Jabalpur","-1.0","-1.0","2118.5"
"7","2010","6","Madhya Pradesh","Jabalpur","-1.0","-1.0","2232.6"
"7","2011","6","Madhya Pradesh","Jabalpur","-1.0","-1.0","2364.6"
"7","2012","6","Madhya Pradesh","Jabalpur","-1.0","-1.0","2587.4"
"7","2013","6","Madhya Pradesh","Jabalpur","-1.0","-1.0","2890.4"
"7","2014","6","Madhya Pradesh","Jabalpur","-1.0","-1.0","3561.07"
"7","2015","6","Madhya Pradesh","Jabalpur","-1.0","-1.0","4410.32"
"8","2005","6","Madhya Pradesh","Balaghat","-1.0","-1.0","108.7"
"8","2006","6","Madhya Pradesh","Balaghat","-1.0","-1.0","110.7"
"8","2007","6","Madhya Pradesh","Balaghat","-1.0","-1.0","107.0"
"8","2008","6","Madhya Pradesh","Balaghat","-1.0","-1.0","97.0"
"8","2009","6","Madhya Pradesh","Balaghat","-1.0","-1.0","102.6"
"8","2010","6","Madhya Pradesh","Balaghat","-1.0","-1.0","112.8"
"8","2011","6","Madhya Pradesh","Balaghat","-1.0","-1.0","125.4"
"8","2012","6","Madhya Pradesh","Balaghat","-1.0","-1.0","138.5"
"8","2013","6","Madhya Pradesh","Balaghat","-1.0","-1.0","154.2"
"8","2014","6","Madhya Pradesh","Balaghat","-1.0","-1.0","188.28"
"8","2015","6","Madhya Pradesh","Balaghat","-1.0","-1.0","231.04"
"9","2005","6","Madhya Pradesh","Chhindwara","-1.0","-1.0","213.8"
"9","2006","6","Madhya Pradesh","Chhindwara","-1.0","-1.0","216.0"
"9","2007","6","Madhya Pradesh","Chhindwara","-1.0","-1.0","188.0"
"9","2008","6","Madhya Pradesh","Chhindwara","-1.0","-1.0","227.3"
"9","2009","6","Madhya Pradesh","Chhindwara","-1.0","-1.0","233.5"
"9","2010","6","Madhya Pradesh","Chhindwara","-1.0","-1.0","257.4"
"9","2011","6","Madhya Pradesh","Chhindwara","-1.0","-1.0","278.3"
"9","2012","6","Madhya Pradesh","Chhindwara","-1.0","-1.0","297.8"
"9","2013","6","Madhya Pradesh","Chhindwara","-1.0","-1.0","325.5"
"9","2014","6","Madhya Pradesh","Chhindwara","-1.0","-1.0","384.43"
"9","2015","6","Madhya Pradesh","Chhindwara","-1.0","-1.0","456.47"
"10","2005","6","Madhya Pradesh","Narsinghpur","-1.0","-1.0","32.4"
"10","2006","6","Madhya Pradesh","Narsinghpur","-1.0","-1.0","31.0"
"10","2007","6","Madhya Pradesh","Narsinghpur","-1.0","-1.0","21.1"
"10","2008","6","Madhya Pradesh","Narsinghpur","-1.0","-1.0","7.8"
"10","2009","6","Madhya Pradesh","Narsinghpur","-1.0","-1.0","8.7"
"10","2010","6","Madhya Pradesh","Narsinghpur","-1.0","-1.0","9.7"
"10","2011","6","Madhya Pradesh","Narsinghpur","-1.0","-1.0","10.9"
"10","2012","6","Madhya Pradesh","Narsinghpur","-1.0","-1.0","12.0"
"10","2013","6","Madhya Pradesh","Narsinghpur","-1.0","-1.0","13.4"
"10","2014","6","Madhya Pradesh","Narsinghpur","-1.0","-1.0","16.5"
"10","2015","6","Madhya Pradesh","Narsinghpur","-1.0","-1.0","20.35"
"11","2005","6","Madhya Pradesh","Seoni / Shivani","-1.0","-1.0","103.6"
"11","2006","6","Madhya Pradesh","Seoni / Shivani","-1.0","-1.0","104.2"
"11","2007","6","Madhya Pradesh","Seoni / Shivani","-1.0","-1.0","92.4"
"11","2008","6","Madhya Pradesh","Seoni / Shivani","-1.0","-1.0","60.3"
"11","2009","6","Madhya Pradesh","Seoni / Shivani","-1.0","-1.0","63.4"
"11","2010","6","Madhya Pradesh","Seoni / Shivani","-1.0","-1.0","70.0"
"11","2011","6","Madhya Pradesh","Seoni / Shivani","-1.0","-1.0","77.6"
"11","2012","6","Madhya Pradesh","Seoni / Shivani","-1.0","-1.0","87.5"
"11","2013","6","Madhya Pradesh","Seoni / Shivani","-1.0","-1.0","99.3"
"11","2014","6","Madhya Pradesh","Seoni / Shivani","-1.0","-1.0","123.73"
"11","2015","6","Madhya Pradesh","Seoni / Shivani","-1.0","-1.0","154.89"
"12","2005","6","Madhya Pradesh","Mandla","-1.0","-1.0","186.5"
"12","2006","6","Madhya Pradesh","Mandla","-1.0","-1.0","188.4"
"12","2007","6","Madhya Pradesh","Mandla","-1.0","-1.0","161.8"
"12","2008","6","Madhya Pradesh","Mandla","-1.0","-1.0","91.0"
"12","2009","6","Madhya Pradesh","Mandla","-1.0","-1.0","98.3"
"12","2010","6","Madhya Pradesh","Mandla","-1.0","-1.0","108.8"
"12","2011","6","Madhya Pradesh","Mandla","-1.0","-1.0","121.6"
"12","2012","6","Madhya Pradesh","Mandla","-1.0","-1.0","132.8"
"12","2013","6","Madhya Pradesh","Mandla","-1.0","-1.0","146.2"
"12","2014","6","Madhya Pradesh","Mandla","-1.0","-1.0","175.31"
"12","2015","6","Madhya Pradesh","Mandla","-1.0","-1.0","211.35"
"13","2005","6","Madhya Pradesh","Sagar","-1.0","-1.0","139.8"
"13","2006","6","Madhya Pradesh","Sagar","-1.0","-1.0","122.4"
"13","2007","6","Madhya Pradesh","Sagar","-1.0","-1.0","93.6"
"13","2008","6","Madhya Pradesh","Sagar","-1.0","-1.0","123.4"
"13","2009","6","Madhya Pradesh","Sagar","-1.0","-1.0","124.3"
"13","2010","6","Madhya Pradesh","Sagar","-1.0","-1.0","141.0"
"13","2011","6","Madhya Pradesh","Sagar","-1.0","-1.0","159.2"
"13","2012","6","Madhya Pradesh","Sagar","-1.0","-1.0","171.0"
"13","2013","6","Madhya Pradesh","Sagar","-1.0","-1.0","185.3"
"13","2014","6","Madhya Pradesh","Sagar","-1.0","-1.0","216.52"
"13","2015","6","Madhya Pradesh","Sagar","-1.0","-1.0","254.21"
"14","2005","6","Madhya Pradesh","Damoh","-1.0","-1.0","39.6"
"14","2006","6","Madhya Pradesh","Damoh","-1.0","-1.0","39.8"
"14","2007","6","Madhya Pradesh","Damoh","-1.0","-1.0","41.8"
"14","2008","6","Madhya Pradesh","Damoh","-1.0","-1.0","36.8"
"14","2009","6","Madhya Pradesh","Damoh","-1.0","-1.0","40.1"
"14","2010","6","Madhya Pradesh","Damoh","-1.0","-1.0","43.0"
"14","2011","6","Madhya Pradesh","Damoh","-1.0","-1.0","46.4"
"14","2012","6","Madhya Pradesh","Damoh","-1.0","-1.0","48.7"
"14","2013","6","Madhya Pradesh","Damoh","-1.0","-1.0","51.6"
"14","2014","6","Madhya Pradesh","Damoh","-1.0","-1.0","59.13"
"14","2015","6","Madhya Pradesh","Damoh","-1.0","-1.0","67.93"
"15","2005","6","Madhya Pradesh","Tikamgarh","-1.0","-1.0","66.9"
"15","2006","6","Madhya Pradesh","Tikamgarh","-1.0","-1.0","65.9"
"15","2007","6","Madhya Pradesh","Tikamgarh","-1.0","-1.0","54.2"
"15","2008","6","Madhya Pradesh","Tikamgarh","-1.0","-1.0","37.7"
"15","2009","6","Madhya Pradesh","Tikamgarh","-1.0","-1.0","40.3"
"15","2010","6","Madhya Pradesh","Tikamgarh","-1.0","-1.0","44.8"
"15","2011","6","Madhya Pradesh","Tikamgarh","-1.0","-1.0","48.2"
"15","2012","6","Madhya Pradesh","Tikamgarh","-1.0","-1.0","52.0"
"15","2013","6","Madhya Pradesh","Tikamgarh","-1.0","-1.0","56.6"
"15","2014","6","Madhya Pradesh","Tikamgarh","-1.0","-1.0","66.62"
"15","2015","6","Madhya Pradesh","Tikamgarh","-1.0","-1.0","78.76"
"16","2005","6","Madhya Pradesh","Chhatarpur","-1.0","-1.0","60.2"
"16","2006","6","Madhya Pradesh","Chhatarpur","-1.0","-1.0","60.7"
"16","2007","6","Madhya Pradesh","Chhatarpur","-1.0","-1.0","50.5"
"16","2008","6","Madhya Pradesh","Chhatarpur","-1.0","-1.0","24.0"
"16","2009","6","Madhya Pradesh","Chhatarpur","-1.0","-1.0","25.4"
"16","2010","6","Madhya Pradesh","Chhatarpur","-1.0","-1.0","28.6"
"16","2011","6","Madhya Pradesh","Chhatarpur","-1.0","-1.0","31.6"
"16","2012","6","Madhya Pradesh","Chhatarpur","-1.0","-1.0","34.3"
"16","2013","6","Madhya Pradesh","Chhatarpur","-1.0","-1.0","37.8"
"16","2014","6","Madhya Pradesh","Chhatarpur","-1.0","-1.0","45.13"
"16","2015","6","Madhya Pradesh","Chhatarpur","-1.0","-1.0","54.1"
"17","2005","6","Madhya Pradesh","Panna","-1.0","-1.0","72.9"
"17","2006","6","Madhya Pradesh","Panna","-1.0","-1.0","73.6"
"17","2007","6","Madhya Pradesh","Panna","-1.0","-1.0","57.2"
"17","2008","6","Madhya Pradesh","Panna","-1.0","-1.0","12.8"
"17","2009","6","Madhya Pradesh","Panna","-1.0","-1.0","14.5"
"17","2010","6","Madhya Pradesh","Panna","-1.0","-1.0","16.5"
"17","2011","6","Madhya Pradesh","Panna","-1.0","-1.0","17.5"
"17","2012","6","Madhya Pradesh","Panna","-1.0","-1.0","19.2"
"17","2013","6","Madhya Pradesh","Panna","-1.0","-1.0","21.2"
"17","2014","6","Madhya Pradesh","Panna","-1.0","-1.0","25.61"
"17","2015","6","Madhya Pradesh","Panna","-1.0","-1.0","31.03"
"18","2005","6","Madhya Pradesh","Rewa","-1.0","-1.0","55.0"
"18","2006","6","Madhya Pradesh","Rewa","-1.0","-1.0","58.7"
"18","2007","6","Madhya Pradesh","Rewa","-1.0","-1.0","43.8"
"18","2008","6","Madhya Pradesh","Rewa","-1.0","-1.0","14.6"
"18","2009","6","Madhya Pradesh","Rewa","-1.0","-1.0","15.9"
"18","2010","6","Madhya Pradesh","Rewa","-1.0","-1.0","17.9"
"18","2011","6","Madhya Pradesh","Rewa","-1.0","-1.0","19.2"
"18","2012","6","Madhya Pradesh","Rewa","-1.0","-1.0","21.7"
"18","2013","6","Madhya Pradesh","Rewa","-1.0","-1.0","24.7"
"18","2014","6","Madhya Pradesh","Rewa","-1.0","-1.0","30.95"
"18","2015","6","Madhya Pradesh","Rewa","-1.0","-1.0","38.9"
"19","2005","6","Madhya Pradesh","Sidhi","-1.0","-1.0","208.5"
