"Dist Code","Year","State Code","State Name","Dist Name","INDIGENOUS COW PRODUCTION (1000 tons)","CROSSBRED COW PRODUCTION (1000 tons)","TOTAL COW PRODUCTION (1000 tons)","INDIGENOUS BUFFALO PRODUCTION (1000 tons)","GRADED MURRAH BUFFALO PRODUCTION (1000 tons)","TOTAL BUFFALO PRODUCTION (1000 tons)","GOAT PRODUCTION (1000 tons)","TOTAL PRODUCTION (1000 tons)"
"1","2007","14","Chhattisgarh","Durg","110.53","6.47","117.0","0.0","0.0","71.02","4.52","192.54"
"1","2008","14","Chhattisgarh","Durg","115.35","7.77","123.12","0.0","0.0","70.13","4.51","197.76"
"1","2009","14","Chhattisgarh","Durg","117.52","13.65","131.17","0.0","0.0","73.43","4.55","209.15"
"1","2010","14","Chhattisgarh","Durg","128.28","12.05","140.32","0.0","0.0","76.43","3.57","220.33"
"1","2011","14","Chhattisgarh","Durg","145.12","15.03","160.14","0.0","0.0","77.36","3.74","241.25"
"1","2012","14","Chhattisgarh","Durg","148.85","15.83","164.67","0.0","0.0","80.09","3.83","248.59"
"1","2013","14","Chhattisgarh","Durg","160.12","17.11","177.23","0.0","0.0","83.35","4.09","264.67"
"1","2014","14","Chhattisgarh","Durg","17.5","162.87","180.37","0.0","0.0","78.79","5.28","264.44"
"1","2015","14","Chhattisgarh","Durg","232.35","15.38","247.73","39.16","31.71","70.86","4.9","323.51"
"2","2007","14","Chhattisgarh","Bastar","59.06","4.71","63.77","0.0","0.0","35.08","12.44","114.3"
"2","2008","14","Chhattisgarh","Bastar","61.42","5.68","67.1","0.0","0.0","38.91","10.35","116.36"
"2","2009","14","Chhattisgarh","Bastar","62.46","9.65","72.12","0.0","0.0","34.98","9.97","117.06"
"2","2010","14","Chhattisgarh","Bastar","62.6","9.05","71.64","0.0","0.0","31.47","9.06","112.18"
"2","2011","14","Chhattisgarh","Bastar","62.6","8.8","71.4","0.0","0.0","35.59","9.8","116.79"
"2","2012","14","Chhattisgarh","Bastar","68.66","9.31","77.97","0.0","0.0","31.45","9.75","119.17"
"2","2013","14","Chhattisgarh","Bastar","82.69","9.39","92.07","0.0","0.0","31.28","9.12","132.47"
"2","2014","14","Chhattisgarh","Bastar","9.79","98.7","108.49","0.0","0.0","30.38","9.38","148.26"
"2","2015","14","Chhattisgarh","Bastar","92.46","9.25","101.71","28.16","1.42","29.58","8.44","141.32"
"3","2007","14","Chhattisgarh","Raipur","104.79","23.89","128.68","0.0","0.0","66.81","4.51","200.0"
"3","2008","14","Chhattisgarh","Raipur","106.66","28.76","135.41","0.0","0.0","69.0","5.53","209.94"
"3","2009","14","Chhattisgarh","Raipur","124.23","17.93","142.15","0.0","0.0","74.43","6.5","223.08"
"3","2010","14","Chhattisgarh","Raipur","132.99","21.79","154.77","0.0","0.0","89.67","6.07","250.52"
"3","2011","14","Chhattisgarh","Raipur","146.28","20.47","166.75","0.0","0.0","95.68","6.32","268.75"
"3","2012","14","Chhattisgarh","Raipur","152.71","21.26","173.98","0.0","0.0","95.21","6.48","275.66"
"3","2013","14","Chhattisgarh","Raipur","160.82","21.6","182.42","0.0","0.0","99.08","6.49","287.99"
"3","2014","14","Chhattisgarh","Raipur","23.12","178.89","202.0","0.0","0.0","95.46","6.07","303.54"
"3","2015","14","Chhattisgarh","Raipur","185.36","26.39","211.75","50.64","41.04","91.68","6.76","296.54"
"4","2007","14","Chhattisgarh","Bilaspur","95.42","9.29","104.71","0.0","0.0","65.01","5.55","175.28"
"4","2008","14","Chhattisgarh","Bilaspur","99.02","11.17","110.19","0.0","0.0","70.79","6.62","187.6"
"4","2009","14","Chhattisgarh","Bilaspur","101.1","16.52","117.62","0.0","0.0","74.64","7.01","199.31"
"4","2010","14","Chhattisgarh","Bilaspur","125.84","16.78","142.62","0.0","0.0","66.06","6.56","215.23"
"4","2011","14","Chhattisgarh","Bilaspur","138.77","15.79","154.57","0.0","0.0","64.13","6.89","225.58"
"4","2012","14","Chhattisgarh","Bilaspur","145.54","15.42","160.96","0.0","0.0","67.4","6.71","235.07"
"4","2013","14","Chhattisgarh","Bilaspur","151.93","18.62","170.55","0.0","0.0","63.68","6.99","241.23"
"4","2014","14","Chhattisgarh","Bilaspur","17.38","136.14","153.52","0.0","0.0","67.81","7.37","228.7"
"4","2015","14","Chhattisgarh","Bilaspur","171.63","17.07","188.7","41.2","16.08","57.29","7.17","256.11"
"5","2007","14","Chhattisgarh","Raigarh","40.71","9.5","50.21","0.0","0.0","24.21","5.39","79.81"
"5","2008","14","Chhattisgarh","Raigarh","41.39","11.45","52.84","0.0","0.0","22.77","8.12","83.72"
"5","2009","14","Chhattisgarh","Raigarh","46.65","10.06","56.71","0.0","0.0","23.86","7.28","87.86"
"5","2010","14","Chhattisgarh","Raigarh","52.23","14.29","66.52","0.0","0.0","26.24","7.43","100.19"
"5","2011","14","Chhattisgarh","Raigarh","62.93","14.65","77.58","0.0","0.0","30.66","8.76","117.0"
"5","2012","14","Chhattisgarh","Raigarh","67.52","16.03","83.55","0.0","0.0","31.52","8.7","123.77"
"5","2013","14","Chhattisgarh","Raigarh","64.32","17.19","81.51","0.0","0.0","29.71","8.47","119.69"
"5","2014","14","Chhattisgarh","Raigarh","27.11","61.5","88.61","0.0","0.0","23.97","9.05","121.64"
"5","2015","14","Chhattisgarh","Raigarh","57.25","23.58","80.83","14.03","2.42","16.45","9.04","106.32"
"6","2007","14","Chhattisgarh","Surguja","60.55","2.57","63.12","0.0","0.0","33.72","10.62","107.45"
"6","2008","14","Chhattisgarh","Surguja","63.33","3.09","66.42","0.0","0.0","35.41","11.39","113.22"
"6","2009","14","Chhattisgarh","Surguja","62.8","9.61","72.41","0.0","0.0","37.31","10.6","120.33"
"6","2010","14","Chhattisgarh","Surguja","59.84","7.8","67.64","0.0","0.0","53.08","10.14","130.86"
"6","2011","14","Chhattisgarh","Surguja","62.39","8.39","70.78","0.0","0.0","64.89","13.86","149.53"
"6","2012","14","Chhattisgarh","Surguja","67.61","9.06","76.67","0.0","0.0","69.48","15.85","162.0"
"6","2013","14","Chhattisgarh","Surguja","74.45","9.92","84.37","0.0","0.0","67.2","10.82","162.39"
"6","2014","14","Chhattisgarh","Surguja","11.51","78.95","90.46","0.0","0.0","62.92","11.41","164.8"
"6","2015","14","Chhattisgarh","Surguja","76.61","10.84","87.44","34.78","10.85","45.63","11.8","144.88"
"7","2005","6","Madhya Pradesh","Jabalpur","0.0","0.0","0.0","0.0","0.0","0.0","0.0","193.8"
"7","2006","6","Madhya Pradesh","Jabalpur","0.0","0.0","0.0","0.0","0.0","0.0","0.0","196.9"
